n,l = 0,l = 1,l = 2,l = 3,l = 4
6,972.613 ± 0.002,,,,
7,,1185.592 ± 0.004,,,
8,1263.162 ± 0.012,1329.629 ± 0.004,1394.680 ± 0.011,,
9,1407.481 ± 0.006,1472.836 ± 0.005,1535.861 ± 0.008,1591.575 ± 0.014,
10,1548.336 ± 0.007,1612.723 ± 0.007,1674.540 ± 0.008,1729.092 ± 0.016,
11,1686.601 ± 0.011,1749.285 ± 0.007,1810.314 ± 0.009,1865.307 ± 0.019,
12,1822.203 ± 0.011,1885.091 ± 0.009,1945.816 ± 0.013,2001.265 ± 0.017,
13,1957.431 ± 0.012,2020.810 ± 0.010,2082.131 ± 0.015,2137.821 ± 0.019,
14,2093.535 ± 0.013,2156.812 ± 0.014,2217.698 ± 0.018,2273.563 ± 0.026,2324.163 ± 0.051
15,2228.774 ± 0.014,2292.032 ± 0.015,2352.280 ± 0.017,2407.707 ± 0.025,2458.716 ± 0.076
16,2362.823 ± 0.015,2425.650 ± 0.014,2485.948 ± 0.019,2541.754 ± 0.023,2593.197 ± 0.053
17,2496.226 ± 0.016,2559.235 ± 0.015,2619.761 ± 0.018,2676.252 ± 0.022,2728.502 ± 0.038
18,2629.724 ± 0.014,2693.437 ± 0.013,2754.551 ± 0.016,2811.440 ± 0.020,2864.349 ± 0.033
19,2764.211 ± 0.014,2828.258 ± 0.013,2889.708 ± 0.016,2947.075 ± 0.018,3000.227 ± 0.034
20,2899.101 ± 0.012,2963.447 ± 0.012,3024.839 ± 0.016,3082.439 ± 0.022,3136.105 ± 0.032
21,3033.845 ± 0.012,3098.287 ± 0.013,3159.997 ± 0.017,3217.881 ± 0.024,3271.864 ± 0.048
22,3168.726 ± 0.014,3233.321 ± 0.016,3295.275 ± 0.021,3353.580 ± 0.037,3408.325 ± 0.069
23,3303.652 ± 0.019,3368.689 ± 0.021,3431.006 ± 0.030,3489.699 ± 0.049,
24,3439.152 ± 0.027,3504.397 ± 0.028,3567.248 ± 0.041,3626.408 ± 0.073,
25,3575.083 ± 0.046,3640.791 ± 0.036,3703.388 ± 0.065,3762.917 ± 0.102,
26,3710.938 ± 0.086,3777.436 ± 0.050,3840.118 ± 0.143,3900.029 ± 0.155,
27,3847.250 ± 0.177,3913.995 ± 0.066,3977.388 ± 0.297,,
28,3984.507 ± 0.323,,,,
